Study Accession,Sample Accession or Sample ID,gmhi_value,isHealthy
PRJEB15371,SAMEA4431881,-0.32944417792423747,False
PRJEB21528,SAMEA104142128,-0.32716540973343505,False
PRJNA422434,SAMN00792097,-0.32712920720714045,False
PRJNA422434,SAMN00715268,-0.3265635427785234,False
PRJEB7774,SAMEA3136670,-0.32585713908987507,True
PRJNA48479,SAMN00036408,-0.3254965298337038,True
PRJNA422434,SAMN00792082,-0.31916880852368446,False
PRJNA422434,SAMN00715246,-0.3190514606082071,True
PRJEB4336,SAMEA2156486,-0.31876869369518673,True
PRJEB6070,SAMEA2466910,-0.31864934729386,False
PRJEB12123,SAMEA3708679,-0.31625380706680245,False
PRJNA389280,SAMN07424296,-0.3137275798663276,True
PRJEB1220,SAMEA2042578,-0.31304041162333457,False
PRJEB6070,SAMEA2466947,-0.309938304491995,False
PRJEB1786,SAMEA1906547,-0.30964326541322246,False
PRJEB12123,SAMEA3708497,-0.3094257314569331,False
PRJNA305507,SAMN04329811,-0.30915240891683315,True
PRJEB4336,SAMEA2158769,-0.30761913302385424,False
PRJEB12123,SAMEA3708565,-0.3075774609309981,True
PRJEB4336,SAMEA2144304,-0.3069383150784515,False
PRJEB11532,SAMEA3664546,-0.30548436367661747,True
PRJNA389280,SAMN07424503,-0.30529135348034164,False
PRJEB6997,SAMEA2737742,-0.3041959171075035,False
PRJEB6997,SAMEA2737803,-0.3027312231140471,True
PRJEB6070,SAMEA2467084,-0.29864221444738315,False
PRJEB6070,SAMEA2466901,-0.29766177653402837,True
PRJNA305507,SAMN04329777,-0.2942613942555927,True
PRJEB12123,SAMEA3708461,-0.2937747088167588,False
PRJNA422434,SAMN00715235,-0.292046474350356,False
PRJEB6070,SAMEA2466994,-0.2919739157596804,False
H1,SAMEA103958162,-0.29097736313789624,True
PRJNA385949,SAMN07199849,-0.28991141468894427,False
PRJEB21528,SAMEA104142074,-0.28929832841119785,False
PRJEB1220,SAMEA2042440,-0.2874130650540401,False
PRJNA389280,SAMN07424378,-0.2854909171987892,False
N7,SAMN08814013,-0.2845914676875895,False
PRJEB15371,SAMEA4431990,-0.28113283393120025,False
PRJNA373879,SAMN07534085,-0.2800012421421324,False
PRJEB12449,SAMEA3879577,-0.2794848423523697,True
N7,SAMN08813956,-0.27772575007985745,False
PRJNA389280,SAMN07424343,-0.2768724978502941,False
PRJNA389280,SAMN07424425,-0.27647193376992096,False
PRJNA319574,SAMN06110450,-0.27589942589838357,True
PRJNA299502,SAMN04209253,-0.2750203853366797,False
PRJEB1786,SAMEA1906566,-0.27488158901779963,False
PRJEB1786,SAMEA1906497,-0.27417308492298814,False
N8,SAMEA4817962,-0.2741162639598831,True
PRJEB4336,SAMEA2149636,-0.27265103142482927,False
PRJEB6070,SAMEA2467042,-0.2719124793828939,False
PRJNA278393,SAMN03418265,-0.27129308115829476,True
PRJEB10878,SAMEA3541511,-0.2692331329658109,False
PRJEB1220,SAMEA1969296,-0.267304000806769,False
PRJNA305507,SAMN04329801,-0.2644141520943515,True
PRJEB12449,SAMEA3879517,-0.2640567537070926,False
PRJNA299502,SAMN04209254,-0.2633860081264335,False
PRJEB6997,SAMEA2737746,-0.26279842413170285,False
L1,SAMEA2582173,-0.2627516018785305,False
PRJEB1220,SAMEA2041937,-0.261847828149267,True
PRJNA177201,SAMN01760977,-0.25891116663660146,True
PRJEB6070,SAMEA2467001,-0.2575448711717098,False
PRJEB7774,SAMEA3136640,-0.25618875019965226,True
PRJNA385949,SAMN07199997,-0.2560943744018761,True
PRJEB12449,SAMEA3879554,-0.2535927255062874,False
PRJEB11532,SAMEA3665206,-0.2522944847997215,True
PRJNA299502,SAMN04209238,-0.2518721143873683,False
PRJEB12947,SAMEA3888894,-0.2516355456016908,False
PRJDB3601,SAMD00036296,-0.2511690075833339,True
PRJEB6070,SAMEA2467053,-0.24972989999009074,False
PRJNA319574,SAMN06110200,-0.2493829840320169,True
N4,SRR5275466,-0.24793602165501524,False
PRJEB1220,SAMEA2042383,-0.24765868109106423,False
H1,SAMEA103958148,-0.24758848370549277,True
PRJEB6070,SAMEA2467023,-0.24740557985945108,False
PRJEB21528,SAMEA104142348,-0.24463048382983385,True
PRJNA422434,SAMN00715185,-0.24450027238605423,False
PRJEB6070,SAMEA2466920,-0.24440638777453136,False
PRJEB1786,SAMEA1906556,-0.24248946824294756,False
PRJEB1220,SAMEA2042109,-0.2406145368380713,False
PRJNA373879,SAMN07533834,-0.24006546509049906,True
PRJNA373879,SAMN07533835,-0.23851944662385913,True
N4,SRR5275400,-0.23815874375475898,False
PRJEB4336,SAMEA2154150,-0.23779102649689374,True
PRJEB1786,SAMEA1906532,-0.23770201941294142,False
PRJNA422434,SAMN00715163,-0.23654986256330013,False
V1,RHB_RAM_0096,-0.23558090045551186,False
PRJEB1220,SAMEA2042657,-0.23476402329124949,False
N8,SAMEA4817950,-0.23075428363463887,False
PRJNA48479,SAMN00035677,-0.22925199527169635,True
PRJNA422434,SAMN00715199,-0.22882079977123657,True
PRJNA422434,SAMN00715141,-0.22855028948487874,False
PRJNA422434,SAMN00715212,-0.22673540363213038,False
PRJNA299502,SAMN04209246,-0.22636775965506625,False
PRJEB11532,SAMEA3664981,-0.22625433512769158,True
L1,SAMEA2582116,-0.22604742691814197,False
N5,SRR5279294,-0.22580321542360002,False
PRJEB12123,SAMEA3708701,-0.22482802936514804,True
PRJEB12449,SAMEA3879522,-0.2243969373303267,True
PRJEB1786,SAMEA1906526,-0.22340458778753589,False
PRJNA389280,SAMN07424454,-0.22269650704303304,False
PRJEB12123,SAMEA3708603,-0.2222208046409417,True
PRJEB12449,SAMEA3879535,-0.22008040614056554,False
PRJNA385949,SAMN07199861,-0.2186574127909354,False
PRJNA422434,SAMN00792028,-0.21864587224868426,False
PRJNA422434,SAMN00791946,-0.2183811480282329,True
PRJNA319574,SAMN06110344,-0.21817103787411682,True
PRJEB6070,SAMEA2466932,-0.2179214620232975,False
PRJEB21528,SAMEA104142099,-0.21777938614583345,True
PRJEB6337,SAMEA2581892,-0.21578270874298933,True
