Study Accession,Sample Accession or Sample ID,MDS1,MDS2,isHealthy
PRJEB7774,SAMEA3136766,0.08321770692098437,0.3202824553463168,False
PRJEB6997,SAMEA2737859,0.04139564145755426,0.11842629537265764,False
L1,SAMEA2582125,-0.2500344404267664,0.35685490817613374,False
PRJEB7774,SAMEA3136734,-0.09502023481992473,0.2634451702587066,False
L1,SAMEA2582142,-0.2482072181200316,0.44424689612738694,False
PRJNA422434,SAMN00993240,-0.6463269608824856,0.28457900583058965,False
PRJEB10878,SAMEA3541491,-0.3625005868213285,-0.1271737812722939,False
PRJEB1220,SAMEA1968151,-0.024065297418549077,0.5825842528379748,False
PRJEB21528,SAMEA104142292,-0.2819089188235031,0.40789212138252007,False
N7,SAMD00114760,-0.12147659139215498,0.4719067902772565,False
PRJEB6997,SAMEA2737796,-0.08974219719864217,0.35247979387509326,False
PRJEB21528,SAMEA104142278,-0.030783138689669275,0.4558419195917866,False
PRJEB10878,SAMEA3541591,0.12659725332062552,0.3323983777342388,False
PRJEB21528,SAMEA104142241,-0.16872461790159404,0.45018859671697004,False
L1,SAMEA2582128,-0.2785436445273466,0.2923734200924655,False
PRJEB15371,SAMEA4431929,-0.5179285489610062,0.2739835722690948,False
PRJEB21528,SAMEA104142289,-0.2576732293392466,0.38318444882587177,False
PRJEB21528,SAMEA104142242,-0.14576030583763244,0.3271805710302476,False
PRJNA422434,SAMN00791955,-0.2724770008770824,0.46547966842260624,False
PRJEB21528,SAMEA104142280,-0.21184751886106204,0.2905487293516141,False
L1,SAMEA2582122,-0.2732776296818717,-0.15232441205938516,False
PRJEB10878,SAMEA3541495,-0.15162135617463857,0.23777909688860205,False
PRJEB6070,SAMEA2466991,0.11338902467447741,0.23476601606743827,False
L1,SAMEA2582104,-0.10895592814226376,0.41678588821909146,False
L1,SAMEA2582064,-0.4752087311144994,0.2531795761570272,False
PRJEB12123,SAMEA3708689,-0.17716574165278462,0.4293099709142217,False
PRJEB6997,SAMEA2737759,0.12602602551543618,0.41703118835139186,True
L1,SAMEA2582115,-0.3427142992711223,0.38905606176258445,False
L1,SAMEA2582089,-0.17814348094296545,0.2569256454115303,False
L1,SAMEA2582036,-0.3252304332642524,0.3349375689546121,False
PRJEB12123,SAMEA3708527,0.04449397291834986,0.3407449431027205,False
PRJEB7774,SAMEA3136738,0.1969859332416192,0.07416700366905615,False
PRJEB10878,SAMEA3541585,-0.23264382738863612,0.0017470353857634846,False
N7,SAMD00114931,0.26542663629442553,0.36306830617716024,False
PRJEB10878,SAMEA3541568,-0.18192124200938473,0.3895937622582487,False
PRJEB21528,SAMEA104142272,-0.13053015531615247,0.15210831482577325,False
N7,SAMD00114722,-0.14641294974576075,0.34726097966012737,False
N7,SAMN08813998,-0.6286393295360895,0.06209348760532935,False
PRJEB12449,SAMEA3879604,-0.18962071988177165,0.2539390882611377,False
PRJEB6997,SAMEA2737683,0.11864445544228562,0.26599470506051853,False
PRJEB15371,SAMEA4431872,-0.6574179263246437,0.1636517645856954,False
L1,SAMEA2582047,-0.40092037766088184,-0.25793933276553654,False
PRJEB10878,SAMEA3541508,-0.15844310444248294,0.4726751221566861,False
PRJNA422434,SAMN00792068,-0.270445654229957,0.3258214587954986,False
PRJEB21528,SAMEA104142281,-0.22779808579865654,0.3593141702531007,False
PRJEB7774,SAMEA3136636,0.015510415653319115,0.6119855671753829,False
PRJEB6337,SAMEA2581943,-0.19346724702732873,-0.028547981876285808,True
PRJEB6070,SAMEA2466916,-0.04974367097184051,0.28593139417793273,False
PRJEB12123,SAMEA3708502,-0.18312674272595728,0.41424575815779874,False
PRJEB21528,SAMEA104142261,-0.25089403973967306,0.1900460205634725,False
